StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,How likely are you to support Justin Amash's 2020 Presidential run?,"Before Amash announced his candidacy, who would you most likely have voted for?",Which TWO issues are most important to you as a voter?,"Rank UP TO 3 reasons that you support or are considering supporting Justin Amash for President.(Type ""1"" beside your most important reason, ""2"" beside your second most important if you have one, ""3"" beside your third most important if you have one.) - Amash's domestic policy views","Rank UP TO 3 reasons that you support or are considering supporting Justin Amash for President.(Type ""1"" beside your most important reason, ""2"" beside your second most important if you have one, ""3"" beside your third most important if you have one.) - Amash's foreign policy views","Rank UP TO 3 reasons that you support or are considering supporting Justin Amash for President.(Type ""1"" beside your most important reason, ""2"" beside your second most important if you have one, ""3"" beside your third most important if you have one.) - I do not trust Trump or Biden to operate in my interest","Rank UP TO 3 reasons that you support or are considering supporting Justin Amash for President.(Type ""1"" beside your most important reason, ""2"" beside your second most important if you have one, ""3"" beside your third most important if you have one.) - I believe Trump and Biden are mentally unfit or unhealthy","Rank UP TO 3 reasons that you support or are considering supporting Justin Amash for President.(Type ""1"" beside your most important reason, ""2"" beside your second most important if you have one, ""3"" beside your third most important if you have one.) - I am trying to disturb the current 2-party system"
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}"
5/5/2020 19:16,5/5/2020 19:17,Survey Preview,100,56,TRUE,5/5/2020 19:17,R_1C72WrSbIJAOmw3,,,,,preview,EN,,,,,,,,
5/5/2020 19:17,5/5/2020 19:18,Survey Preview,100,31,TRUE,5/5/2020 19:18,R_1OvOww9rcV71ho8,,,,,preview,EN,I will not support him,Biden,"Criminal Justice,Climate Change",,,,,
5/5/2020 19:18,5/5/2020 19:18,Survey Preview,100,23,TRUE,5/5/2020 19:18,R_3M6ENqk5FVxJVca,,,,,preview,EN,I will not support him,Undecided,"Universal Basic Income,Gun Policy",,,,,
5/5/2020 19:18,5/5/2020 19:19,Survey Preview,100,25,TRUE,5/5/2020 19:19,R_2qxS34x01DhNCpR,,,,,preview,EN,I am very likely to support him,I probably would not have voted,"Education Policy,Minority Rights",2,,1,3,
5/6/2020 16:39,5/6/2020 16:40,Survey Preview,100,47,TRUE,5/6/2020 16:40,R_3GfTiAlY3boXzwS,,,,,preview,EN,I may support him,Biden,"Economy,Education Policy",1,3,,,2
5/6/2020 16:42,5/6/2020 16:44,IP Address,100,143,TRUE,5/6/2020 16:44,R_3OdmZbw4u0UAdq0,,,,,anonymous,EN,I am very likely to support him,Biden,"Government Spending/Deficit,Abortion",1,,3,,2
5/6/2020 16:44,5/6/2020 16:46,IP Address,100,126,TRUE,5/6/2020 16:46,R_2trpTvxonGi6Hv4,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"National Security/Foreign Policy,Criminal Justice",2,3,1,,
5/6/2020 16:43,5/6/2020 16:46,IP Address,100,191,TRUE,5/6/2020 16:46,R_12nXGArH1uNGcjg,,,,,anonymous,EN,I cannot vote,Other/write-in,"Universal Basic Income,Minority Rights",,,1,2,
